T02,"Population, density and surface area",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2005,Population mid-year estimates (millions),6541.9070,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2005,Population mid-year estimates for males (millions),3296.4853,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2005,Population mid-year estimates for females (millions),3245.4217,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2005,Sex ratio (males per 100 females),101.5734,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,Population aged 0 to 14 years old (percentage),28.1425,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,Population aged 60+ years old (percentage),10.2516,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2005,Population density,50.2860,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2010,Population mid-year estimates (millions),6956.8236,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),3507.7036,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),3449.1200,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.6985,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),26.9741,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),10.9810,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2010,Population density,53.4754,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2017,Population mid-year estimates (millions),7547.8589,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2017,Population mid-year estimates for males (millions),3805.4691,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2017,Population mid-year estimates for females (millions),3742.3898,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2017,Sex ratio (males per 100 females),101.6855,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2017,Population aged 0 to 14 years old (percentage),25.8943,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
