Архангельская область	2	0	0
Белгородская область	1	0	0
Брянская область	1	0	0
Воронежская область	6	0	0
Забайкальский край	1	1	0
Ивановская область	1	0	0
Кабардино-Балкарская Республика	2	0	0
Калужская область	2	0	0
Кемеровская область	2	1	0
Кировская область	7	0	0
Краснодарский край	5	0	0
Красноярский край	6	3	0
Курганская область	1	0	0
Ленинградская область	3	0	0
Липецкая область	5	3	0
Москва	290	9	0
Московская область	35	2	0
Мурманская область	1	0	0
Нижегородская область	7	1	0
Новгородская область	1	0	0
Новосибирская область	4	0	0
Оренбургская область	1	0	0
Пензенская область	1	0	0
Пермский край	3	0	0
Республика Коми	1	0	0
Республика Крым	7	0	0
Республика Саха (Якутия)	7	0	0
Республика Хакасия	1	0	0
Рязанская область	2	0	0
Самарская область	10	0	0
Санкт-Петербург	21	2	0
Саратовская область	1	0	0
Свердловская область	13	0	0
Ставропольский край	1	0	0
Тамбовская область	3	0	0
Тверская область	3	0	0
Томская область	1	0	0
Тульская область	5	0	0
Тюменская область	3	1	0
Удмуртская Республика	2	0	0
Ульяновская область	1	0	0
Хабаровский край	4	0	0
Ханты-Мансийский АО	2	0	0
Челябинская область	1	0	0
Чувашская республика	1	0	0
Ярославская область	1	0	0
