Амурская область	1	0	0
Архангельская область	7	0	0
Башкортостан	5	0	0
Белгородская область	5	0	0
Брянская область	3	0	0
Волгоградская область	4	0	0
Воронежская область	6	0	0
Забайкальский край	1	1	0
Ивановская область	9	0	0
Иркутская область	2	0	0
Кабардино-Балкарская Республика	6	0	0
Калининградская область	12	2	0
Калужская область	3	0	0
Кемеровская область	3	2	0
Кировская область	12	3	0
Костромская область	1	0	0
Краснодарский край	17	1	0
Красноярский край	14	3	0
Курганская область	1	0	0
Ленинградская область	11	0	0
Липецкая область	10	3	0
Москва	1226	28	11
Московская область	119	14	1
Мурманская область	5	1	0
Нижегородская область	11	1	0
Новгородская область	3	0	0
Новосибирская область	9	0	0
Омская область	3	0	0
Оренбургская область	7	0	1
Орловская область	3	0	0
Пензенская область	7	0	0
Пермский край	13	0	0
Приморский край	2	0	0
Псковская область	9	0	1
Республика Адыгея	4	0	0
Республика Бурятия	13	0	0
Республика Дагестан	4	0	0
Республика Коми	22	1	0
Республика Крым	15	0	0
Республика Мордовия	3	0	0
Республика Саха (Якутия)	15	0	0
Республика Хакасия	3	0	0
Ростовская область	2	0	0
Рязанская область	5	0	0
Самарская область	14	1	0
Санкт-Петербург	50	5	2
Саратовская область	4	0	0
Сахалинская область	4	0	0
Свердловская область	24	1	0
Севастополь	5	0	0
Смоленская область	1	0	0
Ставропольский край	6	0	0
Тамбовская область	3	2	0
Татарстан	14	1	0
Тверская область	4	2	0
Томская область	3	1	0
Тульская область	12	0	0
Тюменская область	4	1	0
Удмуртская Республика	4	0	0
Ульяновская область	1	0	0
Хабаровский край	7	0	0
Ханты-Мансийский АО	5	0	0
Челябинская область	15	0	0
Чеченская Республика	9	0	0
Чувашская республика	1	0	0
Ярославская область	3	1	0
